,star_s,star_b,cross_point_x,cross_point_y,TBL_S,TBL_B,vel_mod_s,vel_mod_b,angle,parallax_s,parallax_err_s,parallax_b,parallax_err_b,ruwe_s,ruwe_b,star_score,star_score_ID
2472,240,469,-0.0033044928854381,0.000155251853848,123361.0667758271,104090.02080836706,1.786717752658564,4.634174331646991,2.2322079353653663,2.57,0.069575384,2.6,0.05430241,0.84162647,1.3892567,2.761011629983998,240.0
2463,240,246,-0.0031598587162576,-0.0005036848426546,88504.39225279144,101615.95141263456,1.786717752658564,3.7689928674259288,2.5648585969853475,2.57,0.069575384,2.57,0.038713675,0.84162647,1.043308,2.761011629983998,240.0
2464,240,269,-0.0033324214841933,0.0002824913485401,130091.82813195793,126437.40490755928,1.786717752658564,1.976604290860376,1.7634135571981475,2.57,0.069575384,2.52,0.09153516,0.84162647,0.9041119,2.761011629983998,240.0
2465,240,280,-0.0036043488656068,0.0015213613293513,195626.02576685723,171643.6572841016,1.786717752658564,2.33253486697408,2.01186420917166,2.57,0.069575384,2.53,0.04028763,0.84162647,1.1885073,2.761011629983998,240.0
2466,240,310,-0.0033675453217162,0.0004425115263234,138556.63405901735,159156.88792190555,1.786717752658564,3.252570465471511,1.341139141282733,2.57,0.069575384,1.8,0.23989567,0.84162647,2.0889707,2.761011629983998,240.0
2467,240,356,-0.003195615039818,-0.0003407831309809,97121.62661413944,88020.9197918751,1.786717752658564,3.062404244640577,1.612857176457074,2.57,0.069575384,3.31,0.59760094,0.84162647,0.5103484,2.761011629983998,240.0
2471,240,442,-0.0034919763775315,0.0010094051540593,168544.38064536877,155758.55748375953,1.786717752658564,2.359928665269574,2.127372020527893,2.57,0.069575384,2.47,0.043292824,0.84162647,1.1084707,2.761011629983998,240.0
2469,240,394,-0.0034631932755885,0.0008782726407891,161607.68496776314,182095.83908798196,1.786717752658564,3.293391672816343,1.8256752301084167,2.57,0.069575384,2.6,0.02575717,0.84162647,2.0737612,2.761011629983998,240.0
2788,275,1147,-0.0022361937908483,-0.0009245203318518,30675.858583123834,29188.12667356649,4.711151732325445,2.748370378213855,1.4031708788147823,2.49,0.06281544,2.4,0.10113244,1.0019042,0.93074054,2.7546243162930573,1147.0
4561,542,1147,-0.0075207041927783,-0.0013219513593135,167004.02309155872,207194.18968822487,4.20363743803995,2.748370378213855,1.034604026291465,2.8,0.17518893,2.4,0.10113244,9.912083,0.93074054,2.7546243162930573,1147.0
3774,425,1147,-0.00771069612041,-0.0013362400410011,182213.45622868653,213593.97178155356,3.4350920605380284,2.748370378213855,1.3165684021988997,2.84,0.05849456,2.4,0.10113244,1.0298138,0.93074054,2.7546243162930573,1147.0
6487,1020,1147,-0.0072002158112875,-0.0012978484591283,228042.46512182368,196398.7004769116,2.926927401639674,2.748370378213855,1.3157638476306093,2.86,0.1846328,2.4,0.10113244,3.9896352,0.93074054,2.7546243162930573,1147.0
6257,918,1147,-0.0032621715774094,-0.0010016808206867,74849.24199607816,63747.67006277606,3.9568515734406855,2.748370378213855,1.040755463685791,2.18,0.16727875,2.4,0.10113244,1.0751456,0.93074054,2.7546243162930573,1147.0
5716,766,1147,-0.0087354316537414,-0.0014133071039668,278931.7108166045,248111.6704983405,4.792736662454876,2.748370378213855,1.0537109450464386,2.84,0.18000656,2.4,0.10113244,3.2255764,0.93074054,2.7546243162930573,1147.0
3202,335,1147,-0.0043495316561137,-0.0010834576742515,86772.8104506116,100374.84495087604,4.335229571239259,2.748370378213855,1.068832072025894,1.88,0.20552778,2.4,0.10113244,13.862651,0.93074054,2.7546243162930573,1147.0
2563,246,1238,-0.0023337897687565,0.0016865418223306,44280.26372023459,48505.30142219276,3.7689928674259288,16.007249657513167,1.2798910170771736,2.57,0.038713675,2.55,0.02616424,1.043308,1.0640737,2.753973165558869,246.0
2562,246,1049,-0.0024636189451653,0.0013423147152306,53291.43056587111,53457.11070550708,3.7689928674259288,4.103469849207336,1.3352150015105422,2.57,0.038713675,2.49,0.15667023,1.043308,0.88206404,2.753973165558869,246.0
2559,246,1006,-0.0021178660425613,0.0022590387115388,29293.45739134368,27966.07705608399,3.7689928674259288,6.044873034308737,2.095618411948822,2.57,0.038713675,1.52,0.37828624,1.043308,12.213488,2.753973165558869,246.0
1491,158,599,-0.0017136825228105,0.0022021053534652,47211.06037126878,42794.2039044963,2.9634766067880167,7.37826956212546,1.5640672796451365,2.59,0.03925429,2.52,0.3907027,1.101444,1.9911473,2.7522691858808463,158.0
1492,158,603,-0.001391922996125,0.0025512274111522,32420.96918496193,30904.06817250896,2.9634766067880167,3.531813902672561,2.162811588836428,2.59,0.03925429,2.52,0.06162783,1.101444,1.0342522,2.7522691858808463,158.0
1489,158,270,-0.0029218819514973,0.0008911602666651,102747.5037070746,109091.46821748608,2.9634766067880167,3.448503975955067,1.4213036102115553,2.59,0.03925429,2.53,0.09967998,1.101444,0.8655134,2.7522691858808463,158.0
1487,158,214,-0.0066591920227258,-0.0031639718244421,274537.77613313566,322923.7796897342,2.9634766067880167,3.672536934339506,1.4519276000950454,2.59,0.03925429,1.02,0.040975425,1.101444,1.1653367,2.7522691858808463,158.0
1486,158,180,-0.003526774064326,0.0002348279389643,130552.14899224782,116164.28209517828,2.9634766067880167,3.566340539904609,1.524260793169252,2.59,0.03925429,1.98,0.26757085,1.101444,1.8589327,2.7522691858808463,158.0
1485,158,174,-0.0023599113091413,0.001500921068591,76915.79911049793,93283.18341610584,2.9634766067880167,3.886651332388612,1.622158093999165,2.59,0.03925429,2.47,0.05191259,1.101444,0.9054152,2.7522691858808463,158.0
1496,158,997,-0.0026999524200705,0.001131962755006,92546.22686983625,91165.53911861908,2.9634766067880167,3.269345553305384,1.834637772766632,2.59,0.03925429,2.87,0.17197755,1.101444,1.6898901,2.7522691858808463,158.0
1498,158,1276,-0.0019180944627715,0.0019803101580591,56607.11854781146,68513.07612645776,2.9634766067880167,3.8039489719588975,1.336222530342855,2.59,0.03925429,2.69,0.1851194,1.101444,0.717586,2.7522691858808463,158.0
5283,684,921,-0.0063062841593596,0.0047148109935402,311765.69514381944,348538.30063033424,0.6135592122856759,2.114099344077592,1.1668291230426144,2.64,0.074983366,2.32,0.07480437,1.0944369,0.91836876,2.749991034554674,684.0
5285,684,1207,-0.0046916719064992,0.0053462294386575,50913.70944352853,53114.9965939826,0.6135592122856759,9.236065785529844,1.1717024630450903,2.64,0.074983366,2.09,0.44109273,1.0944369,2.202313,2.749991034554674,684.0
5281,684,686,-0.006878092027238,0.0044911969126969,404145.2850490045,428134.4007840105,0.6135592122856759,1.8087886550337824,1.122191908773381,2.64,0.074983366,2.39,0.05782441,1.0944369,0.955773,2.749991034554674,684.0
5282,684,774,-0.0049551671686513,0.005243185646918,93483.22558167772,79700.24293207115,0.6135592122856759,12.784679862271703,1.8242270012344624,2.64,0.074983366,0.99,0.07967397,1.0944369,1.0481087,2.749991034554674,684.0
5284,684,1034,-0.0116346824883316,0.0026310605563161,1172605.9880699448,1002600.6432218188,0.6135592122856759,1.5562766986338166,1.223058825208381,2.64,0.074983366,1.78,0.33350977,1.0944369,20.232666,2.749991034554674,684.0
2910,293,1064,-0.0007501502416589,-0.0013311946515681,65130.63151707887,62865.31585846832,3.610391401594418,2.3956840480296333,2.789990564049196,1.51,0.37121025,2.56,0.23362285,2.6028485,0.8266727,2.7428117856767,1064.0
5631,751,1064,-0.0018044764777928,-0.0049428241949911,173305.45613267113,207847.01737081257,2.5770793481573837,2.3956840480296333,1.2386252756305252,2.54,0.048545804,2.56,0.23362285,1.0696125,0.8266727,2.7428117856767,1064.0
1710,174,1064,-0.0004830314657607,-0.0004161704118463,29558.39308477916,26133.48342524009,3.886651332388612,2.3956840480296333,2.082760418388317,2.47,0.05191259,2.56,0.23362285,0.9054152,0.8266727,2.7428117856767,1064.0
326,27,1064,-0.0006299228046165,-0.0009193515723854,50339.837776793545,46332.69265940884,13.174014267260509,2.3956840480296333,2.8010008346118145,3.44,0.036289763,2.56,0.23362285,1.5319358,0.8266727,2.7428117856767,1064.0
2722,270,1064,-0.0005668428231829,-0.0007032690006573,32956.965741273096,37658.48658715146,3.448503975955067,2.3956840480296333,1.8819059346007068,2.53,0.09967998,2.56,0.23362285,0.8655134,0.8266727,2.7428117856767,1064.0
2524,244,434,0.0007858789422715,0.0057098684855205,38090.08059435642,32688.739454716702,2.6139878238270238,6.798891944020853,2.573931995174097,2.59,0.045582186,1.99,0.07146354,1.7711778,5.0943246,2.7323460231252703,244.0
2523,244,401,-0.0013022138450876,0.0033536525203378,149277.36671439346,132976.27324176705,2.6139878238270238,2.8921496799173063,1.3647834064511026,2.59,0.045582186,2.55,0.08653865,1.7711778,0.94592136,2.7323460231252703,244.0
2531,244,965,0.0002179405857141,0.0050690035627253,68331.80401362579,58006.95614978615,2.6139878238270238,8.693672956481663,2.1193470136428685,2.59,0.045582186,2.67,0.022295723,1.7711778,1.0025437,2.7323460231252703,244.0
2530,244,938,0.0002927609510241,0.0051534312952147,64347.7505196005,64101.16300928563,2.6139878238270238,12.236821451395487,2.0496709403487823,2.59,0.045582186,0.98,0.11222002,1.7711778,1.1167854,2.7323460231252703,244.0
5409,708,736,-0.0038958769126069,0.0036318466971432,68823.56753906605,77615.10332694223,8.317897602240778,2.547614330304321,2.0338912373829685,2.59,0.22525439,2.55,0.03624226,1.5941341,1.0308089,2.725217551499578,736.0
3817,437,736,-0.0054613377560284,-0.0019593412847148,255923.62812020985,288012.0640701115,3.320081716713097,2.547614330304321,1.2996497574419346,1.94,0.1115565,2.55,0.03624226,1.2218053,1.0308089,2.725217551499578,736.0
4673,574,736,-0.0036100900665769,0.0046525608118466,36102.833355450246,39205.5295086296,25.692541270655312,2.547614330304321,2.049161008416307,0.6,0.108457506,2.55,0.03624226,1.0155448,1.0308089,2.725217551499578,736.0
3053,310,736,-0.0047834629158871,0.0004617513126051,199348.17497000884,196906.10844731008,3.252570465471511,2.547614330304321,1.3113869046417963,1.8,0.23989567,2.55,0.03624226,2.0889707,1.0308089,2.725217551499578,736.0
2303,224,736,-0.0042937978785251,0.002210635217009,106522.21612678922,131095.43290337003,3.760762308613832,2.547614330304321,2.216074913057011,2.44,0.04758891,2.55,0.03624226,0.9627673,1.0308089,2.725217551499578,736.0
2151,214,736,-0.0059434390745679,-0.00368121066879,300725.63545117964,352806.1805229336,3.672536934339506,2.547614330304321,1.9235656277506343,1.02,0.040975425,2.55,0.03624226,1.1653367,1.0308089,2.725217551499578,736.0
5348,692,736,-0.0040061693083764,0.0032379272194965,78038.81449899329,92438.3325124634,3.9716746180442777,2.547614330304321,1.4613820724445417,2.76,0.14870085,2.55,0.03624226,1.0736032,1.0308089,2.725217551499578,736.0
